INSERT INTO change (type, time, place) VALUES (0,'2021-10-04 10:01:08','France');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-06 12:01:03','Denmark');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-04 10:01:08','Russia');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-08 19:05:00','USA');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-02 11:01:00','Vietnam');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-05 11:05:08','France');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-06 17:06:07','Brazil');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-08 19:05:00','Canada');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-02 08:01:00','Germany');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-05 15:08:06','France');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-02 11:01:00','Denmark');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-02 11:01:00','Canada');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-03 14:00:01','England');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-02 08:01:00','Portugal');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-02 11:01:00','France');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-04 00:00:08','England');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-02 08:01:00','Vietnam');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-04 10:00:07','Denmark');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-04 10:01:08','Canada');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-02 08:01:00','USA');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-03 14:00:01','Portugal');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-02 11:01:00','France');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-08 10:08:00','Denmark');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-08 19:05:00','England');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-02 11:01:00','Russia');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-03 14:00:01','Argentina');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-03 18:00:01','Vietnam');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-08 19:05:00','USA');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-04 10:01:08','Canada');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-08 19:05:00','Germany');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-03 18:00:01','France');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-02 08:01:00','England');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-02 00:01:00','China');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-05 11:05:08','Korea');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-08 19:05:00','Canada');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-03 10:00:01','Denmark');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-03 18:00:01','Italy');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-03 14:00:01','Ukraine');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-06 17:06:07','Italy');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-06 17:06:07','Korea');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-04 00:00:08','USA');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-03 18:00:01','Italy');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-05 15:08:06','Vietnam');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-03 14:00:01','Canada');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-02 11:01:00','Germany');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-04 10:00:07','Korea');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-03 18:00:01','China');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-08 10:08:00','Argentina');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-08 19:05:00','China');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-05 15:08:06','USA');
INSERT INTO change (type, time, place) VALUES (0,'2021-10-03 18:00:01','Russia');
INSERT INTO change (type, time, place) VALUES (1,'2021-10-02 00:01:00','England');
